transaction_id,customer_id,transaction_amount,transaction_timestamp,merchant_id,merchant_category,location,device_id,payment_method,is_fraud
TX0022918,C001255,₹702.32,2025-06-21 06:42:51,M00441,grocery,Chennai,D001478,wallet,0
TX0067635,C001776,₹630.35,2025-07-26 18:49:40,M00802,fuel,Hyderabad,D000737,wallet,0
TX0084612,C000506,646.22,10/04/25 12:43,M00160,fuel,Mumbai,D000944,upi,0
TX0085625,C002211,309.80,04/06/25 12:18,M00583,grocery,Bengaluru,D001275,debit_card,0
TX0057757,C000515,399.51,07-16-2025 11:29:47,M00688,electronics,Bengaluru,D000359,wallet,0
TX0015705,C001899, 121.22 ,2025-04-26 12:12:04,M00058,fuel,Chandigarh,D000807,credit_card,0
TX0038734,C000875,₹240.76,2025-03-22 10:32:28,M00405,grocery,Delhi,D001444,credit_card,0
TX0045612,C001250,623.03,07-02-2025 19:14:51,M00186,healthcare,Delhi,D000064,credit_card,0
TX0075991,C001441,593.95,21/06/25 11:55,M00779,healthcare,Kochi,D001614,debit_card,0
TX0010447,C000488,₹373.00,27/04/25 11:27,M00115,electronics,Chandigarh,D001003,net_banking,0
TX0044860,C002019,290.06,08/07/25 07:03,M00027,grocery,Jaipur,D001245,wallet,0
TX0042654,C000981,₹508.14,21/04/25 17:20,M00078,utilities,Kochi,D000526,wallet,0
TX0036708,C002067,543.35,18/04/25 10:03,M00222,electronics,Chandigarh,D000677,wallet,0
TX0034687,C000180,₹385.10,20 Feb 2025 12:15,M00647,restaurant,Chandigarh,D000067,upi,0
TX0014292,C000844,$650,06-22-2025 14:46:18,M00799,electronics,Jaipur,D000768,wallet,0
TX0029213,C001557,705.67,30/06/25 20:22,M00160,fuel,Chandigarh,D001441,debit_card,0
TX0040112,C001278,52.83,06-20-2025 18:37:18,M00279,online_retail,Jaipur,D000243,debit_card,0
TX0016414,C000361,649.83,2025-04-19 19:04:14,M00211,restaurant,Kolkata,D000554,net_banking,0
TX0040774,C000183,₹62.25,2025-05-13 15:29:20,M00435,grocery,Hyderabad,D000633,wallet,0
TX0094566,C001371,"₹1,415.36",2025-02-01 16:23:12,M00325,electronics,Delhi,D000046,credit_card,0
TX0030275,C000296,1332.52,2025-03-12 07:43:15,M00166,electronics,Chandigarh,D000585,debit_card,0
TX0090438,C001911,$229,2025-05-22 20:18:25,M00689,healthcare,Chandigarh,D000058,debit_card,0
TX0040466,C000659,"₹2,612.08",2025-03-12 22:35:20,M00362,grocery,Pune,D001511,upi,0
TX0051810,C002284,"₹1,523.76",2025-04-14 22:39:50,M00007,healthcare,Bengaluru,D000149,debit_card,0
TX0072661,C000934,1023.36,04 Jun 2025 19:45,M00416,restaurant,Lucknow,D000438,upi,0
TX0081989,C001647,$284,12/06/25 21:46,M00246,entertainment,Kochi,D000624,credit_card,0
TX0066711,C001535, 1527.62 ,2025-01-18 21:17:59,M00287,grocery,Chandigarh,D000001,net_banking,0
TX0058876,C001368,₹65.73,30/01/25 15:50,M00618,jewelry,Kochi,D000689,credit_card,0
TX0052382,C001138,₹176.95,01-06-2025 13:39:45,M00796,fuel,Bengaluru,D000297,net_banking,0
TX0081263,C001564,$611,01-18-2025 22:49:36,M00752,fuel,Ahmedabad,D000179,net_banking,0
TX0076463,C002091,372.17,2025-07-05 10:50:42,M00100,restaurant,Pune,D000047,upi,0
TX0097450,C001109,₹471.65,02-14-2025 08:07:58,M00594,fuel,Bengaluru,D001013,debit_card,0
TX0083508,C001107,747.67,08/02/25 09:21,M00349,electronics,Jaipur,D000848,debit_card,0
TX0029290,C000678,296.28,02-14-2025 10:48:12,M00109,restaurant,Pune,D001221,credit_card,0
TX0094508,C001299,1026.00,2025-02-28 06:04:29,M00207,healthcare,Chandigarh,D001378,debit_card,0
TX0011434,C001342,256.10,2025-07-04 16:03:48,M00329,fuel,Lucknow,D000458,net_banking,0
TX0031055,C002158,564.29,27/06/25 06:09,M00141,travel,Jaipur,D001018,credit_card,0
TX0013540,C000896,182.96,17/02/25 10:38,M00383,jewelry,Hyderabad,D000646,net_banking,0
TX0082177,C000729,"₹1,427.14",17/01/25 17:03,M00409,restaurant,Ahmedabad,D001323,debit_card,0
TX0016576,C000799,"₹1,090.54",2025-07-03 13:38:00,M00614,healthcare,Mumbai,D000532,wallet,0
TX0025933,C002050,₹282.00,06-15-2025 10:02:37,M00581,entertainment,Kochi,D000668,wallet,0
TX0052613,C000776,224.14,03/06/25 14:28,M00020,restaurant,Bengaluru,D000147,debit_card,0
TX0081532,C001911,364.81,02/02/25 08:59,M00251,grocery,Bengaluru,D001135,debit_card,0
TX0066455,C001502,₹339.25,2025-01-26 15:12:06,M00192,online_retail,Chandigarh,D000379,upi,0
TX0012527,C001449,839.83,28/01/25 13:38,M00436,electronics,Delhi,D001276,wallet,0
TX0004090,C001948,"$1,616",03-16-2025 13:41:27,M00668,jewelry,Lucknow,D001314,credit_card,0
TX0054658,C002274,$197,2025-03-31 22:48:47,M00104,jewelry,Chandigarh,D001664,credit_card,0
TX0072859,C000147,787.12,2025-05-24 13:47:10,M00816,jewelry,Kolkata,D000996,credit_card,0
TX0018304,C002172,₹468.45,03-27-2025 15:20:28,M00439,jewelry,Chennai,D000843,wallet,0
TX0034052,C001266,₹678.67,2025-02-19 06:02:18,M00815,electronics,Jaipur,D000949,net_banking,0
TX0061584,C000667,"₹1,137.69",2025-07-15 22:09:18,M00707,utilities,Ahmedabad,D000812,upi,0
TX0028552,C001713,504.75,09/03/25 11:23,M00078,utilities,Lucknow,D000121,upi,0
TX0011106,C001908,$840,02/05/25 11:46,M00563,fuel,Kochi,D000893,debit_card,0
TX0017758,C002249,"₹2,395.51",2025-06-16 07:45:25,M00400,travel,Mumbai,D000477,wallet,0
TX0020852,C000263,$146,16/04/25 06:59,M00677,restaurant,Kochi,D000779,wallet,0
TX0062090,C000824,"₹2,616.08",19 Jun 2025 16:31,M00580,healthcare,Hyderabad,D000099,debit_card,0
TX0070880,C002445,₹902.57,2025-03-26 17:33:15,M00706,entertainment,Lucknow,D001263,net_banking,0
TX0074656,C001598,₹667.80,29 Apr 2025 18:17,M00355,restaurant,Jaipur,D001408,net_banking,0
TX0058379,C000568,4065.00,08/01/25 11:02,M00519,utilities,Pune,D001224,wallet,0
TX0077790,C000774,4211.70,02-14-2025 09:32:42,M00683,grocery,Ahmedabad,D000559,debit_card,0
TX0037240,C001346,$393,04-16-2025 18:09:04,M00284,healthcare,Mumbai,D001218,credit_card,0
TX0023064,C000551,₹122.97,2025-06-19 06:13:22,M00449,healthcare,Pune,D000756,wallet,0
