feature,importance,model
transaction_amount,0.932004265738813,logistic_regression
number_of_customers_per_device,0.8322122202618102,logistic_regression
device_transaction_frequency,0.6774891153336549,logistic_regression
is_night_transaction,0.433094103204585,logistic_regression
payment_method_upi,0.20430994615342338,logistic_regression
merchant_category_online_retail,0.14919328479779684,logistic_regression
merchant_category_grocery,0.12881750531370478,logistic_regression
merchant_category_electronics,0.10553718394890275,logistic_regression
transactions_last_24h,0.09003804585403703,logistic_regression
amount_vs_avg_ratio,0.08993679678183446,logistic_regression
merchant_category_entertainment,0.08534951080728566,logistic_regression
payment_method_debit_card,0.07996234770868722,logistic_regression
merchant_category_travel,0.07504420663535716,logistic_regression
merchant_category_healthcare,0.07045994411111861,logistic_regression
payment_method_credit_card,0.0704074564111582,logistic_regression
merchant_category_utilities,0.0657580530348726,logistic_regression
merchant_category_fuel,0.0632637926295314,logistic_regression
avg_transaction_amount,0.05709595213926973,logistic_regression
payment_method_wallet,0.04956269184249851,logistic_regression
payment_method_net_banking,0.04920585384344826,logistic_regression
transaction_hour,0.045523118127008814,logistic_regression
transactions_last_7d,0.030994243280251733,logistic_regression
merchant_category_jewelry,0.030215000183018658,logistic_regression
merchant_category_restaurant,0.0168558133934637,logistic_regression
max_transaction_amount,0.011174099814280147,logistic_regression
location_change_frequency,0.009884216184854815,logistic_regression
number_of_locations_used,0.002224846458027308,logistic_regression
transaction_amount,0.24505256002882259,random_forest
amount_vs_avg_ratio,0.19039938365386969,random_forest
transaction_hour,0.12374265817969814,random_forest
is_night_transaction,0.10129132750443302,random_forest
avg_transaction_amount,0.05676759452593976,random_forest
max_transaction_amount,0.05466623689494346,random_forest
location_change_frequency,0.0460047780039843,random_forest
number_of_customers_per_device,0.04079462972021505,random_forest
device_transaction_frequency,0.04077285845635509,random_forest
transactions_last_7d,0.018641475859294758,random_forest
number_of_locations_used,0.009125896963727455,random_forest
transactions_last_24h,0.008787372723815938,random_forest
payment_method_upi,0.005909322918005725,random_forest
payment_method_debit_card,0.00548135968870074,random_forest
payment_method_net_banking,0.005446149683002154,random_forest
payment_method_wallet,0.005040379848276476,random_forest
payment_method_credit_card,0.0047294598598185645,random_forest
merchant_category_restaurant,0.004203946549502238,random_forest
merchant_category_fuel,0.004164823233630119,random_forest
merchant_category_grocery,0.003947845530611765,random_forest
merchant_category_travel,0.003939272478459629,random_forest
merchant_category_electronics,0.003936383242642478,random_forest
merchant_category_entertainment,0.0038880336185370887,random_forest
merchant_category_utilities,0.0037212639463091043,random_forest
merchant_category_jewelry,0.0036012938912321235,random_forest
merchant_category_healthcare,0.003158476635912166,random_forest
merchant_category_online_retail,0.0027852163602604973,random_forest
